type,val,re,hits,time
ml,6,0.274544653835,8,13.607745,
icpc,1,25.3030529089,0,17.135838,
sc,5,0.77527836689,5,6.746242,
ml,6,0.325697115963,9,14.934283,
icpc,1,28.522325605,0,17.132768,
sc,5,34.3876448293,2,6.669834,
ml,6,0.274544653835,10,13.495255,
icpc,1,14.9273009523,0,17.459881,
sc,5,0.77527836689,5,6.791355,
ml,6,19.3467843979,0,13.438074,
icpc,1,23.441590331,0,17.181072,
sc,5,0.77527836689,5,6.518297,
ml,6,7.29217062644,6,13.458616,
icpc,1,19.0541164682,0,17.367217,
sc,5,0.77527836689,5,6.468785,
ml,6,0.325697115963,9,13.458644,
icpc,1,19.3870950759,0,17.31449,
sc,5,0.77527836689,5,6.517492,
ml,6,18.7904844547,0,13.430483,
icpc,1,4.97271369435,5,17.124151,
sc,5,23.6094899598,0,6.455114,
ml,6,0.274544653835,10,13.412494,
icpc,1,14.6551972682,0,16.784405,
sc,5,0.77527836689,5,6.448785,
ml,6,0.274544653835,10,13.435439,
icpc,1,21.1227311218,0,16.150912,
sc,5,1.02515511629,4,6.401497,
ml,6,0.274544653835,10,13.42463,
icpc,1,20.0115515222,0,16.164,
sc,5,0.77527836689,5,6.389978,
ml,7,25.5686330028,0,14.925319,
icpc,1.5,2.27436761687,6,15.9667,
sc,10,0.366059538446,10,15.967336,
ml,7,0.32030209614,10,15.074847,
icpc,1.5,33.5484366549,0,15.960019,
sc,10,0.519516924833,9,16.093864,
ml,7,0.32030209614,10,15.002754,
icpc,1.5,44.0577123582,0,15.971602,
sc,10,0.366059538446,10,15.943765,
ml,7,0.32030209614,9,16.092485,
icpc,1.5,2.67613815277,9,15.977119,
sc,10,0.366059538446,10,15.922763,
ml,7,0.32030209614,10,15.021892,
icpc,1.5,3.35498933033,7,15.975201,
sc,10,0.366059538446,10,16.675153,
ml,7,0.32030209614,10,16.022333,
icpc,1.5,1.40279211749,7,15.95624,
sc,10,0.366059538446,10,16.036669,
ml,7,0.32030209614,10,16.549704,
icpc,1.5,2.33289856169,6,15.951255,
sc,10,10.8416204137,7,16.223269,
ml,7,6.66208536172,6,16.306936,
icpc,1.5,2.95498610285,5,15.939251,
sc,10,0.570669386961,9,15.986793,
ml,7,14.1372653782,10,16.35901,
icpc,1.5,2.63008699564,5,15.974527,
sc,10,0.519516924833,9,16.662965,
ml,7,0.422607020398,9,15.801064,
icpc,1.5,20.7798750251,4,15.984615,
sc,10,0.366059538446,10,16.853956,
ml,8,0.47520387,9,17.215226,
icpc,2,0.468364462704,9,15.930198,
sc,20,0.178211066259,20,35.156689,
ml,8,25.7447241895,0,17.102651,
icpc,2,0.366059538446,10,15.93605,
sc,20,0.178211066259,20,35.100549,
ml,8,0.366059538446,10,17.167798,
icpc,2,0.577508794258,8,15.941165,
sc,20,0.248654315711,19,34.928313,
ml,8,0.366059538446,10,17.199822,
icpc,2,0.417212000575,10,15.989132,
sc,20,0.178211066259,20,35.063862,
ml,8,0.366059538446,9,17.149736,
icpc,2,0.366059538446,10,15.964959,
sc,20,33.6523608277,19,35.148213,
ml,8,14.0123306709,0,17.149409,
icpc,2,0.519516924833,9,15.995432,
sc,20,0.178211066259,20,35.356044,
ml,8,0.366059538446,10,17.282499,
icpc,2,15.2395691082,5,15.96335,
sc,20,0.248654315711,18,35.24589,
ml,8,0.366059538446,10,17.073302,
icpc,2,0.366059538446,10,16.044622,
sc,20,0.178211066259,20,34.958579,
ml,8,0.366059538446,10,17.203604,
icpc,2,0.570669386961,9,16.71275,
sc,20,0.248654315711,19,34.923823,
ml,8,0.366059538446,10,17.196784,
icpc,2,0.366059538446,10,16.752499,
sc,20,0.178211066259,20,35.332134,
