type,val,re,hits,time
icpc,1,47.347982184,0,0.870941
icpc,1,32.5275038069,0,0.872316
icpc,1,43.1385843285,0,0.871825
icpc,1,8.7430403142,10,0.864818
icpc,1,19.447962415,3,0.867818
icpc,1,15.3821653523,3,0.883982
icpc,1,38.3065660293,0,0.866998
icpc,1,39.3791950206,0,0.866332
icpc,1,16.2998303901,2,0.868834
icpc,1,17.8313141313,0,0.866822
icpc,1.5,60.0213338796,0,0.868428
icpc,1.5,55.8870277366,0,0.873079
icpc,1.5,33.8356052766,0,0.87438
icpc,1.5,3.2698054605,10,0.862586
icpc,1.5,21.2892221941,1,0.867041
icpc,1.5,54.9647997969,0,0.86827
icpc,1.5,41.6852429663,0,0.868846
icpc,1.5,26.7294116471,0,0.868622
icpc,1.5,4.1824653406,10,0.869449
icpc,1.5,5.0309131864,10,0.861474
icpc,2,44.9770153264,0,0.863275
icpc,2,57.9228323945,0,0.876631
icpc,2,7.8613899004,0,0.863544
icpc,2,0.8243064,10,0.869496
icpc,2,0.8551945703,10,0.863488
icpc,2,0.8451479108,10,0.867219
icpc,2,83.9529867918,0,0.862944
icpc,2,0.9112142897,10,0.869402
icpc,2,60.8081859405,0,0.868257
icpc,2,0.8487260403,10,0.862562
ml,6,32.6970805806,0,0.756655
ml,6,18.7420119618,0,0.761766
ml,6,43.8275887569,0,0.756801
ml,6,0.7859792522,10,0.763376
ml,6,0.5771787712,10,0.758199
ml,6,42.2281097137,0,0.762723
ml,6,33.2840812341,0,0.764382
ml,6,0.4659188767,10,0.770224
ml,6,0.3923603125,10,0.76863
ml,6,0.5480053106,10,1.10205
ml,7,21.1731737027,0,1.360032
ml,7,0.9968353914,10,1.227391
ml,7,0.7936752997,10,0.850767
ml,7,0.6711356322,10,0.887586
ml,7,0.665912078,10,0.908031
ml,7,0.5085380054,10,0.902355
ml,7,0.8731861569,9,0.851132
ml,7,45.3022736464,0,0.83242
ml,7,50.2298329093,0,0.819978
ml,7,45.208314812,0,0.876276
ml,8,0.534796945,10,0.88332
ml,8,83.0980015366,0,0.905275
ml,8,1.0090368461,10,0.914107
ml,8,34.1444424096,0,0.87489
ml,8,60.3953347984,0,0.889213
ml,8,1.1232182599,10,0.972786
ml,8,0.8678646709,10,0.885802
ml,8,0.9070621557,10,0.885754
ml,8,0.8894569411,10,1.070474
ml,8,0.8162730021,10,1.046187
sc,5,0.5270080688,5,0.195567
sc,5,0.8381459179,5,0.194065
sc,5,0.7348709239,5,0.193607
sc,5,1.0798970965,5,0.193611
sc,5,42.5806081281,0,0.195403
sc,5,64.7702076618,0,0.194194
sc,5,54.6971375512,0,0.195617
sc,5,65.3173582661,0,0.194721
sc,5,92.1338496648,0,0.193257
sc,5,0.7955365993,5,0.193499
sc,10,69.5452741014,0,0.86729
sc,10,85.715676475,0,0.86433
sc,10,0.7693556834,10,0.863743
sc,10,59.3700405411,0,0.861793
sc,10,0.7035616219,10,0.869551
sc,10,0.7470452595,10,0.863611
sc,10,0.9094127102,10,0.875487
sc,10,0.9084528075,10,0.881021
sc,10,35.5245577345,0,0.866834
sc,10,0.9156829154,9,0.863266
sc,20,62.9900710992,0,3.650346
sc,20,20.2360321612,0,3.651451
sc,20,0.633676537,20,3.654285
sc,20,1.2611990256,20,3.655847
sc,20,0.7004575202,20,3.653099
sc,20,0.8711299298,20,3.636531
sc,20,42.4935952423,0,3.628951
sc,20,52.9139057364,0,3.643714
sc,20,0.7557909615,20,3.629541
sc,20,0.6052249108,20,3.642835
