type,val,re,hits,time,,type,val,re,hits,time
icpc,1,66.4199932837,0,24.645713,,icpc,1,46.589127105,0,24.5773588
icpc,1,50.6124880725,0,24.639177,,icpc,1.5,47.0886150621,0.2,24.4962901
icpc,1,34.5507612474,0,24.618249,,icpc,2,36.6421766897,3,24.5163823
icpc,1,48.2150050491,0,24.583775,,,,,,
icpc,1,34.911032562,0,24.545816,,type,val,re,hits,time
icpc,1,58.6548481255,0,24.627703,,ml,6,44.3192252383,0.1,21.0382011
icpc,1,43.7062304187,0,24.46945,,ml,7,45.8072330102,0,22.7679499
icpc,1,40.9413896834,0,24.568148,,ml,8,33.0310734615,3,24.625532
icpc,1,59.2157950906,0,24.481168,,,,,,
icpc,1,28.6637275172,0,24.594389,,type,val,re,hits,time
icpc,1.5,54.8272944383,0,24.681686,,sc,5,31.0461480769,0.1,21.8932239
icpc,1.5,35.5208962715,0,24.410832,,sc,10,47.476385639,1,23.7105676
icpc,1.5,45.8922614672,0,24.527018,,sc,20,31.696037668,3.5,15.0490462
icpc,1.5,8.6865276075,2,24.457672,,,,,,
icpc,1.5,59.3871720868,0,24.538737,,,,,,
icpc,1.5,66.6352431141,0,24.413896,,,,,,
icpc,1.5,66.8035368548,0,24.453641,,,,,,
icpc,1.5,54.2515101923,0,24.389534,,,,,,
icpc,1.5,32.3960912281,0,24.629363,,,,,,
icpc,1.5,46.4856173604,0,24.460522,,,,,,
icpc,2,84.4041496707,0,24.409876,,,,,,
icpc,2,33.2607790246,0,24.513401,,,,,,
icpc,2,0.7316660205,10,24.722705,,,,,,
icpc,2,46.8108548507,0,24.561742,,,,,,
icpc,2,0.8363051291,10,24.389422,,,,,,
icpc,2,59.4444520263,0,24.545577,,,,,,
icpc,2,36.2735279279,0,24.561327,,,,,,
icpc,2,44.2896505727,0,24.513701,,,,,,
icpc,2,59.4294972379,0,24.466273,,,,,,
icpc,2,0.9408844362,10,24.479799,,,,,,
ml,6,44.5469583404,0,21.161736,,,,,,
ml,6,56.4502867311,0,21.040114,,,,,,
ml,6,57.2549881484,0,21.075731,,,,,,
ml,6,56.2368508931,0,21.013063,,,,,,
ml,6,33.7321303089,0,20.979411,,,,,,
ml,6,34.3325834759,0,21.093505,,,,,,
ml,6,42.4946429615,0,21.058929,,,,,,
ml,6,4.1111170541,1,21.036205,,,,,,
ml,6,45.6012965752,0,21.023036,,,,,,
ml,6,68.4313978948,0,20.900281,,,,,,
ml,7,29.7850615088,0,22.777133,,,,,,
ml,7,43.2890070364,0,22.733217,,,,,,
ml,7,29.6082113975,0,22.753583,,,,,,
ml,7,49.0473253472,0,22.817768,,,,,,
ml,7,70.4294816951,0,22.738582,,,,,,
ml,7,57.6354456168,0,22.788982,,,,,,
ml,7,55.9705764103,0,22.739925,,,,,,
ml,7,45.4090729977,0,22.736011,,,,,,
ml,7,44.0255530438,0,22.826466,,,,,,
ml,7,32.8725950485,0,22.767832,,,,,,
ml,8,36.3368980246,0,24.75721,,,,,,
ml,8,58.7900747989,0,24.706496,,,,,,
ml,8,58.270735359,0,24.59745,,,,,,
ml,8,0.8134015421,10,24.596541,,,,,,
ml,8,59.6186895268,0,24.588763,,,,,,
ml,8,32.4356641018,0,24.664498,,,,,,
ml,8,59.8758247284,0,24.610835,,,,,,
ml,8,0.2959506197,10,24.62667,,,,,,
ml,8,22.6025857349,0,24.525576,,,,,,
ml,8,1.2709101787,10,24.581281,,,,,,
sc,5,0.7418931751,5,5.499074,,,,,,
sc,5,0.8046650712,5,5.484223,,,,,,
sc,5,67.0509695799,0,5.510487,,,,,,
sc,5,0.8521651137,5,5.526272,,,,,,
sc,5,79.0968547979,0,5.461546,,,,,,
sc,5,54.7312444212,0,5.518046,,,,,,
sc,5,53.2032613963,0,5.539542,,,,,,
sc,5,52.3622038939,0,5.559321,,,,,,
sc,5,0.7722366668,5,5.561011,,,,,,
sc,5,0.8459866532,5,5.458162,,,,,,
sc,10,0.817904884,10,24.552713,,,,,,
sc,10,60.1304417796,0,24.705989,,,,,,
sc,10,44.2754876973,0,24.528347,,,,,,
sc,10,42.9770582995,0,24.6137,,,,,,
sc,10,85.4755886991,0,24.557841,,,,,,
sc,10,86.5108498867,0,24.559003,,,,,,
sc,10,58.1859858708,0,24.48191,,,,,,
sc,10,62.2220582361,0,24.592886,,,,,,
sc,10,33.464854276,0,24.595441,,,,,,
sc,10,0.7036267614,10,24.581056,,,,,,
sc,20,37.0749747908,0,103.880438,,,,,,
sc,20,25.3875565615,0,104.475071,,,,,,
sc,20,0.6608698935,20,103.669294,,,,,,
sc,20,26.9711232405,0,103.784882,,,,,,
sc,20,40.6727495082,0,103.526086,,,,,,
sc,20,25.4148076402,0,103.63033,,,,,,
sc,20,36.2744743365,0,103.539661,,,,,,
sc,20,50.7319167623,0,103.671675,,,,,,
sc,20,37.1357179274,0,103.540891,,,,,,
sc,20,36.6361860189,0,103.278359,,,,,,
