type,val,re,hits,time
ml,6,32.882385254,0,14.8772,
icpc,1,76.8686067129,0,17.001752,
sc,5,44.2259378862,0,6.526694,
ml,6,55.9859681958,4,13.65792,
icpc,1,44.633898421,0,16.197039,
sc,5,2.21070875391,5,7.221418,
ml,6,33.234121207,0,14.73114,
icpc,1,76.9350971598,2,16.718956,
sc,5,2.09231580222,5,6.482498,
ml,6,1.2692441506,7,13.593778,
icpc,1,60.0968482655,0,16.319673,
sc,5,57.1424272853,0,6.564318,
ml,6,57.0209877686,0,13.729161,
icpc,1,80.4427107461,0,16.097615,
sc,5,45.7240982934,0,6.535237,
ml,6,0.862491350946,10,13.830646,
icpc,1,54.872384998,0,16.110095,
sc,5,2.58872384435,4,6.959255,
ml,6,0.830326024658,9,14.453903,
icpc,1,47.5238958895,0,17.221604,
sc,5,2.24121365812,5,6.459553,
ml,6,29.2709479091,0,14.030044,
icpc,1,62.50515376,0,16.490266,
sc,5,2.14236440655,4,6.442616,
ml,6,29.185194123,0,13.822172,
icpc,1,53.6171438883,0,16.818643,
sc,5,2.21024832623,5,6.453489,
ml,6,0.957459468445,8,13.743023,
icpc,1,42.5416090091,0,16.899609,
sc,5,28.1041769573,0,6.470936,
ml,7,1.293408898,10,15.353799,
icpc,1.5,7.02862344251,7,17.320915,
sc,10,1.42979554231,9,16.481758,
ml,7,1.88044609947,8,15.702634,
icpc,1.5,68.5907926878,0,17.10706,
sc,10,2.51119554256,8,16.30635,
ml,7,1.45150925087,10,14.869484,
icpc,1.5,46.2002264864,3,16.644162,
sc,10,1.04943144797,10,16.117835,
ml,7,1.0011168132,10,16.164889,
icpc,1.5,53.7609982168,0,17.131559,
sc,10,2.25833861422,7,16.422363,
ml,7,60.6258039149,6,15.197501,
icpc,1.5,7.27891248965,5,16.845462,
sc,10,1.48894352315,9,16.647207,
ml,7,1.3053014691,8,14.828229,
icpc,1.5,7.08134984058,5,16.934365,
sc,10,1.30627335173,10,16.126104,
ml,7,0.943675510264,9,14.817897,
icpc,1.5,6.12787194517,7,16.989317,
sc,10,1.15128578012,10,16.210486,
ml,7,1.29240829221,9,15.271968,
icpc,1.5,5.41834268218,9,17.198254,
sc,10,1.50675489591,10,16.675551,
ml,7,1.27641701605,8,15.088639,
icpc,1.5,64.7782911121,0,17.31658,
sc,10,2.07700653633,8,16.309046,
ml,7,1.30081825349,9,14.805289,
icpc,1.5,4.09300718162,7,17.838736,
sc,10,1.14809215112,10,16.250916,
ml,8,1.30057099246,10,16.888479,
icpc,2,70.2343015588,6,17.678823,
sc,20,0.79742131808,20,35.883552,
ml,8,36.6854840914,9,16.429374,
icpc,2,1.31148094404,10,17.884291,
sc,20,0.702734075209,20,36.166938,
ml,8,38.6530531945,10,16.775481,
icpc,2,0.851103978147,10,17.753276,
sc,20,0.830152561937,20,36.349557,
ml,8,1.44166801751,9,16.066186,
icpc,2,1.05816965064,10,17.710465,
sc,20,0.896578954675,20,36.152081,
ml,8,1.62408348542,9,16.298837,
icpc,2,1.20999549607,10,17.719427,
sc,20,0.968115951546,19,37.101424,
ml,8,1.24640106968,10,16.363403,
icpc,2,45.2410613776,10,17.930199,
sc,20,0.731788215667,19,36.479983,
ml,8,1.21737434568,10,16.123559,
icpc,2,35.5567254123,10,17.472667,
sc,20,51.6625728433,19,36.037826,
ml,8,44.6874655578,8,16.113497,
icpc,2,0.907985225821,10,16.747288,
sc,20,1.29042378619,19,35.717703,
ml,8,1.41351246558,10,17.676295,
icpc,2,1.51395468221,10,16.446441,
sc,20,1.73511363888,16,35.612239,
ml,8,1.95376761892,8,16.991016,
icpc,2,2.32877976633,7,16.266251,
sc,20,1.49621692712,17,35.652297,
