type,val,re,hits,time
ml,6,0.912017598875,8,14.204094,
icpc,1,84.0549223444,0,16.779327,
sc,5,2.57541898833,5,6.433066,
ml,6,1.08194239994,9,15.439263,
icpc,1,94.7491147589,0,16.174955,
sc,5,114.233283475,2,6.412669,
ml,6,0.912017598875,10,14.391934,
icpc,1,49.5874204144,0,16.684722,
sc,5,2.57541898833,5,6.408442,
ml,6,64.2686266372,0,14.961818,
icpc,1,77.8712775092,0,17.268354,
sc,5,2.57541898833,5,6.447057,
ml,6,24.2240664767,6,13.599975,
icpc,1,63.2964048189,0,16.078033,
sc,5,2.57541898833,5,6.451508,
ml,6,1.08194239994,9,13.587058,
icpc,1,64.402535811,0,16.081274,
sc,5,2.57541898833,5,6.441551,
ml,6,62.4206382265,0,14.03402,
icpc,1,16.5189973291,5,16.088542,
sc,5,78.4290280033,0,6.511508,
ml,6,0.912017598875,10,14.129168,
icpc,1,48.6835115415,0,16.083456,
sc,5,2.57541898833,5,6.566052,
ml,6,0.912017598875,10,14.989099,
icpc,1,70.1681939542,0,16.148667,
sc,5,3.4054915824,4,6.654565,
ml,6,0.912017598875,10,14.814008,
icpc,1,66.4769352239,0,16.39597,
sc,5,2.57541898833,5,6.525016,
ml,7,84.9371603198,0,15.74187,
icpc,1.5,7.55528568459,6,16.206856,
sc,10,1.21602346517,10,16.725442,
ml,7,1.06402053202,10,15.949865,
icpc,1.5,111.445494263,0,16.097619,
sc,10,1.72579786837,9,16.002841,
ml,7,1.06402053202,10,15.852944,
icpc,1.5,146.356552479,0,16.237747,
sc,10,1.21602346517,10,17.220566,
ml,7,1.06402053202,9,16.136863,
icpc,1.5,8.88993851547,9,16.232628,
sc,10,1.21602346517,10,16.52473,
ml,7,1.06402053202,10,16.091383,
icpc,1.5,11.1450333145,7,16.130437,
sc,10,1.21602346517,10,16.477661,
ml,7,1.06402053202,10,16.056085,
icpc,1.5,4.65997454637,7,16.813422,
sc,10,1.21602346517,10,16.962791,
ml,7,1.06402053202,10,16.047825,
icpc,1.5,7.74972127459,6,16.573741,
sc,10,36.0150834463,7,16.313108,
ml,7,22.1309685336,6,15.987898,
icpc,1.5,9.81625135505,5,17.47662,
sc,10,1.89572266944,9,16.028113,
ml,7,46.9629790449,10,16.058789,
icpc,1.5,8.7369598828,5,16.903269,
sc,10,1.72579786837,9,16.182348,
ml,7,1.40387013416,9,16.241451,
icpc,1.5,69.029250654,4,16.49598,
sc,10,1.21602346517,10,16.267834,
ml,8,1.57859308655,9,17.621669,
icpc,2,1.5558730673,9,16.306367,
sc,20,0.592004347825,20,36.316712,
ml,8,85.5221225801,0,16.868507,
icpc,2,1.21602346517,10,16.021612,
sc,20,0.592004347825,20,35.673077,
ml,8,1.21602346517,10,16.842328,
icpc,2,1.91844268869,8,16.523171,
sc,20,0.826011757277,19,35.302091,
ml,8,1.21602346517,10,16.823865,
icpc,2,1.38594826623,10,17.143206,
sc,20,0.592004347825,20,35.239308,
ml,8,1.21602346517,9,16.814009,
icpc,2,1.21602346517,10,15.962034,
sc,20,111.790722893,19,35.046949,
ml,8,46.5479549305,0,16.892368,
icpc,2,1.72579786837,9,16.03327,
sc,20,0.592004347825,20,35.667029,
ml,8,1.21602346517,10,17.036376,
icpc,2,50.6247527745,5,15.968346,
sc,20,0.826011757277,18,36.222337,
ml,8,1.21602346517,10,17.588432,
icpc,2,1.21602346517,10,15.954982,
sc,20,0.592004347825,20,35.48453,
ml,8,1.21602346517,10,17.19342,
icpc,2,1.89572266944,9,15.983387,
sc,20,0.826011757277,19,35.402891,
ml,8,1.21602346517,10,16.858146,
icpc,2,1.21602346517,10,15.953684,
sc,20,0.592004347825,20,35.459915,
