type,val,re,hits,time
ml,6,57.5276269714,0,7.032162,
icpc,1,76.8686067129,0,11.775427,
sc,5,44.2259378862,0,3.542014,
ml,6,55.9859681958,4,7.055007,
icpc,1,44.633898421,0,8.381462,
sc,5,2.21070875391,5,3.549174,
ml,6,45.0346241364,0,7.05993,
icpc,1,76.9350971598,2,8.34365,
sc,5,45.3567641069,3,3.544137,
ml,6,6.10789170493,2,7.064897,
icpc,1,60.0968482655,0,8.35448,
sc,5,43.0439382696,0,3.550205,
ml,6,57.0209877686,0,7.061808,
icpc,1,67.2962132749,0,11.751672,
sc,5,33.6857896187,0,3.535966,
ml,6,0.862491350946,10,7.06897,
icpc,1,51.1182731542,0,8.345757,
sc,5,2.58872384435,4,6.944055,
ml,6,0.830326024658,9,7.093833,
icpc,1,47.5238958895,0,8.334305,
sc,5,69.6467060261,0,3.536408,
ml,6,29.2709479091,0,7.09214,
icpc,1,52.2595384625,0,8.329766,
sc,5,54.5025653537,0,3.541032,
ml,6,31.270926412,4,7.072297,
icpc,1,53.0599311741,0,11.751786,
sc,5,2.21024832623,5,3.546986,
ml,6,0.957459468445,8,7.06272,
icpc,1,44.1968147174,0,8.345976,
sc,5,68.4851275156,0,3.58326,
ml,7,1.79277821774,8,7.741064,
icpc,1.5,7.02862344251,7,8.336211,
sc,10,1.42979554231,9,8.352729,
ml,7,1.99210145225,7,7.688731,
icpc,1.5,54.1575024407,0,8.346283,
sc,10,2.51119554256,8,8.364579,
ml,7,1.3108464562,8,7.700935,
icpc,1.5,56.8325173181,4,11.77343,
sc,10,1.40015000103,10,11.756667,
ml,7,0.951104621538,10,7.704592,
icpc,1.5,53.7609982168,0,8.353288,
sc,10,47.4390922469,7,8.3698,
ml,7,60.6258039149,6,7.708578,
icpc,1.5,7.27891248965,5,8.357778,
sc,10,1.48894352315,9,8.34736,
ml,7,1.3053014691,8,7.698492,
icpc,1.5,47.4013483321,0,8.356196,
sc,10,1.30239015709,9,8.371786,
ml,7,1.01494905015,9,7.700044,
icpc,1.5,6.12787194517,7,10.551462,
sc,10,1.15128578012,10,9.121171,
ml,7,1.46742255723,9,7.708224,
icpc,1.5,5.41834268218,9,9.552685,
sc,10,73.0375907334,8,11.012935,
ml,7,1.27641701605,8,7.705395,
icpc,1.5,48.2843284947,0,8.342752,
sc,10,2.07700653633,8,8.377173,
ml,7,83.098499938,0,7.69448,
icpc,1.5,4.09300718162,7,8.357151,
sc,10,1.14809215112,10,8.366263,
ml,8,46.3257832568,0,8.354196,
icpc,2,70.2343015588,6,11.808722,
sc,20,50.8442501609,19,21.381805,
ml,8,57.3679934863,6,8.351614,
icpc,2,73.0452898166,10,8.362245,
sc,20,0.702734075209,20,18.010528,
ml,8,38.6530531945,10,8.375994,
icpc,2,0.851103978147,10,8.337153,
sc,20,1.602060486,17,21.434366,
ml,8,1.44166801751,9,8.361878,
icpc,2,49.0323227188,9,8.361306,
sc,20,0.896578954675,20,18.011688,
ml,8,1.95042825851,8,11.762576,
icpc,2,1.20999549607,10,8.346412,
sc,20,0.968115951546,19,21.406071,
ml,8,1.24640106968,10,8.354624,
icpc,2,45.2410613776,10,11.771405,
sc,20,0.731788215667,19,18.007367,
ml,8,1.21737434568,10,8.337087,
icpc,2,57.486578185,6,8.344979,
sc,20,27.4981268001,16,21.387866,
ml,8,2.01165006599,7,8.349251,
icpc,2,0.907985225821,10,8.351724,
sc,20,63.4167411957,16,21.420422,
ml,8,1.30255687068,10,8.356533,
icpc,2,1.51395468221,10,11.775656,
sc,20,61.8178012273,13,18.006955,
ml,8,69.6722339273,0,8.350845,
icpc,2,84.4502967574,0,8.339601,
sc,20,61.3068027499,14,21.376718,
